key,display
LASID,Linguistic Atlas and Survey of Irish Dialects
DASG,Digital Archive of Scottish Gaelic
NFC,Ireland's National Folklore Collection
tobar,Tobar an Dualchais
dòrlach,Dòrlach fieldwork
other,Other
